audit - 2.8.4-r0
linux-firmware-iwlwifi-7265-8 - 1:0.0+git0+6f5257c629-r0
linux-firmware-iwlwifi-7265-9 - 1:0.0+git0+6f5257c629-r0
linux-firmware-iwlwifi-8000c - 1:0.0+git0+6f5257c629-r0
linux-firmware-iwlwifi-license - 1:0.0+git0+6f5257c629-r0
linux-firmware-iwlwifi-misc - 1:0.0+git0+6f5257c629-r0
linux-firmware-whence-license - 1:0.0+git0+6f5257c629-r0
locale-base-en-gb - 2.25-r0
locale-base-en-us - 2.25-r0
logrotate - 3.9.1-r0
modemmanager - 1.6.4-r0
modules - 1.0-r1
modutils-initscripts - 1.0-r7
nano - 2.7.4-r0
ncurses-terminfo - 6.0+20161126-r0
ncurses-terminfo-base - 6.0+20161126-r0
netbase - 1:5.4-r0
nettle - 3.3-r0
networkmanager - 0.9.2.0-r0
networkmanager-certs - 1.0-r0
networkmanager-locale-en-gb - 0.9.2.0-r0
nspr - 4.18-r0
openssh - 7.5p1-r0
openssh-keygen - 7.5p1-r0
openssh-scp - 7.5p1-r0
openssh-ssh - 7.5p1-r0
openssh-sshd - 7.5p1-r0
openssl-conf - 1.0.2n-r0
opkg - 1:0.3.4-r0.1
opkg-arch-config - 1.0-r1
packagegroup-base - 1.0-r83.1
packagegroup-base-ext2 - 1.0-r83.1
packagegroup-base-ipv6 - 1.0-r83.1
packagegroup-base-nfs - 1.0-r83.1
packagegroup-base-pci - 1.0-r83.1
packagegroup-core-boot - 1.0-r17
packagegroup-distro-base - 1.0-r83.1
packagegroup-machine-base - 1.0-r83.1
packagegroup-xenclient-common - 1.0-r0
pam-plugin-deny - 1.3.0-r5
pam-plugin-env - 1.3.0-r5
pam-plugin-faildelay - 1.3.0-r5
pam-plugin-group - 1.3.0-r5
pam-plugin-keyinit - 1.3.0-r5
pam-plugin-lastlog - 1.3.0-r5
pam-plugin-limits - 1.3.0-r5
pam-plugin-loginuid - 1.3.0-r5
pam-plugin-mail - 1.3.0-r5
pam-plugin-motd - 1.3.0-r5
pam-plugin-nologin - 1.3.0-r5
pam-plugin-permit - 1.3.0-r5
pam-plugin-rootok - 1.3.0-r5
pam-plugin-securetty - 1.3.0-r5
pam-plugin-selinux - 1.3.0-r5
pam-plugin-shells - 1.3.0-r5
pam-plugin-unix - 1.3.0-r5
pam-plugin-warn - 1.3.0-r5
pciutils - 3.5.2-r0
pciutils-ids - 3.5.2-r0
policycoreutils-loadpolicy - 2.8-r0
policycoreutils-locale-en-gb - 2.8-r0
policycoreutils-newrole - 2.8-r0
policycoreutils-runinit - 2.8-r0
policycoreutils-semodule - 2.8-r0
policycoreutils-sestatus - 2.8-r0
policycoreutils-setfiles - 2.8-r0
polkit - 0.113-r0
ppp - 2.4.7-r0
procps - 3.3.12-r0
refpolicy-mcs - 2.20170204-r0
rpcbind - 0.2.4-r0
rsync - 3.1.2-r0
rsyslog - 8.22.0-r0
shadow-base - 4.2.1-r0.1
shadow-securetty - 4.2.1-r3
strace - 4.16-r0
sysfsutils - 2.1.0-r5
sysvinit - 2.88dsf-r14
sysvinit-inittab - 2.88dsf-r10
sysvinit-pidof - 2.88dsf-r14
udev-cache - 3.2.1-r0
util-linux-mount - 2.29.1-r0
util-linux-sulogin - 2.29.1-r0
util-linux-umount - 2.29.1-r0
v4v-module - git0+c0c98489b4-r0
vim-tiny - 8.0.0427-r0
wget - 1.19.1-r0
wget-locale-en-gb - 1.19.1-r0
wireless-tools - 1:30.pre9-r0
wpa-supplicant - 2.6-r0
wpa-supplicant-cli - 2.6-r0
wpa-supplicant-passphrase - 2.6-r0
xen-ocaml-libs - 4.9.3-r0
xen-xenstore - 4.9.3-r0
xenclient-dbusbouncer - 1.0-r0
xenclient-feed-configs - 1785-r15
xenclient-ndvm-tweaks - 1.0-r0
xenclient-nws - 0+git0+6ee8cc614b-r0
xenclient-toolstack - 0+git0+7702618789-r0
xenclient-udev-force-discreet-net-to-eth0 - 1.0-r0
